Date,year,Site_location,LONGITUDE,LATITUDE,Region,Site_number,Clade,Species_name,Collection_no,Plant_no,LMA,Canopy_area,LWratio,FWC
7/29/2011,2011,Baviaanskloof:_Hill_track_2,24.13374,-33.68247,Baviaanskloof,PL_1013,A1,laevigatum,22,8,0.01328125,69.11503838,6.666666667,4.85
8/3/2011,2011,Swartberg_NR:_Pass_N_1,22.03975,-33.3269,Swartberg,PL_1028,A1,laevigatum,46,1,0.023668639,1847.25648,16,4.090909091
8/3/2011,2011,Swartberg_NR:_Pass_N_1,22.03975,-33.3269,Swartberg,PL_1028,A1,laevigatum,46,2,0.01863354,2224.247599,21,4.081081081
8/3/2011,2011,Swartberg_NR:_Pass_N_1,22.03975,-33.3269,Swartberg,PL_1028,A1,laevigatum,46,3,0.016033755,3408.628029,35,4.727272727
8/3/2011,2011,Swartberg_NR:_Pass_N_1,22.03975,-33.3269,Swartberg,PL_1028,A1,laevigatum,46,4,0.019004525,785.3981634,38,3.75
8/3/2011,2011,Swartberg_NR:_Pass_N_1,22.03975,-33.3269,Swartberg,PL_1028,A1,laevigatum,46,5,0.020731707,848.2300165,34,3.35
8/3/2011,2011,Swartberg_NR:_Pass_N_1,22.03975,-33.3269,Swartberg,PL_1028,A1,laevigatum,46,6,0.01954023,659.7344573,35,3.684210526
8/3/2011,2011,Swartberg_NR:_Pass_N_1,22.03975,-33.3269,Swartberg,PL_1028,A1,laevigatum,46,7,0.014736842,268.6061719,20.5,4.208333333
8/3/2011,2011,Swartberg_NR:_Pass_N_1,22.03975,-33.3269,Swartberg,PL_1028,A1,laevigatum,46,8,0.022222222,704.5021526,30,3.055555556
8/21/2011,2011,Cederberg_NR:_Driehoek_Rd_,19.18468,-32.43356,Cedarberg,PL_1067,A1,laevigatum_Cederburg,110,1,0.026717557,.,76,3.895833333
8/21/2011,2011,Cederberg_NR:_Driehoek_Rd_,19.18468,-32.43356,Cedarberg,PL_1067,A1,laevigatum_Cederburg,110,2,0.028358209,.,70,2.770833333
8/21/2011,2011,Cederberg_NR:_Driehoek_Rd_,19.18468,-32.43356,Cedarberg,PL_1067,A1,laevigatum_Cederburg,110,3,0.029268293,.,69,2.880952381
8/21/2011,2011,Cederberg_NR:_Driehoek_Rd_,19.18468,-32.43356,Cedarberg,PL_1067,A1,laevigatum_Cederburg,110,4,0.030188679,.,52,2.783783784
8/21/2011,2011,Cederberg_NR:_Driehoek_Rd_,19.18468,-32.43356,Cedarberg,PL_1067,A1,laevigatum_Cederburg,110,5,0.028846154,.,52,3.588235294
